0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:01:19 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:01:19 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:05:07 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:05:07 +0900] "GET /0112_bootstrap/css/font-awesome.css HTTP/1.1" 200 35091
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:05:07 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:05:07 +0900] "GET /0112_bootstrap/css/.fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:05:07 +0900] "GET /0112_bootstrap/css/fontawesome-webfont.woff?v=4.6.3 HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:05:07 +0900] "GET /0112_bootstrap/css/fontawesome-webfont.ttf?v=4.6.3 HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:05:08 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:05:08 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:05:08 +0900] "GET /0112_bootstrap/css/.fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:05:08 +0900] "GET /0112_bootstrap/css/fontawesome-webfont.woff?v=4.6.3 HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:05:08 +0900] "GET /0112_bootstrap/css/fontawesome-webfont.ttf?v=4.6.3 HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:05:08 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:05:08 +0900] "GET /0112_bootstrap/css/.fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:05:08 +0900] "GET /0112_bootstrap/css/fontawesome-webfont.woff?v=4.6.3 HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:05:08 +0900] "GET /0112_bootstrap/css/fontawesome-webfont.ttf?v=4.6.3 HTTP/1.1" 404 1070
